"School
Code",Boro Number,Boro,School,School Name,"Galaxy
FY11 Loc
Code",Status,Dist,"Poverty
Percentage","County
Cutoff","T1-1
NT1=0","Audited
Register","Proj_Regs
for New
Schools","Proj Regs for
Restruct &
Phase-Ins
Grades","Poverty
Count","T1 School
Poverty
Count","Students
in Temp
Housing","Title I
Eligible
Pupils","Additional
Title I
Eligibles
Phase-IN",USM,"OAG
Audit","for NYC
overal
count","Expalnation of Title I
School Designation","Weighted
T1 Count
(including
phase-in)","FY11
Entitlement",Title I ARRA,"Title I Basic
Allocation","Total Minimum
Parent (1%)
Involvement
Commitment",SWP?
208560,2,X,560,HIGH SCHOOL X560 - BRONX ACADEMY 08X560,,Open,8,83.8,40.00%,1,357,0,0,299,299,6,299,0,,,299,TitleI:no chng,299,"$425,996 ","147,476","278,520","$4,260 ",SWP
208650,2,X,650,JANE ADDAMS HIGH SCHOOL FOR ACA,08X650,Open,8,88.2,40.00%,1,"1,252",0,0,"1,104","1,104",36,"1,104",0,,,1104,TitleI:no chng,"1,104","$1,572,907 ","328,253","1,244,654","$15,729 ",SWP
209002,2,X,2,P.S. 002 MORRISANIA,09X002,Open,9,95.3,40.00%,1,150,0,0,143,143,5,143,0,,,143,TitleI:no chng,143,"$203,737 ","47,573","156,164","$2,037 ",SWP
209004,2,X,4,P.S./M.S. 004 CROTONA PARK WEST,09X004,Open,9,96.7,40.00%,1,427,0,0,413,413,39,413,0,UU,,413,TitleI:no chng,413,"$588,415 ","137,961","450,454","$5,884 ",SWP
209011,2,X,11,P.S. 011 HIGHBRIDGE,09X011,Open,9,91.5,40.00%,1,709,0,101,649,649,90,649,92,,,649,TitleI:no chng,741,"$1,055,728 ","199,806","855,922","$10,557 ",SWP
209022,2,X,22,J.H.S. 022 JORDAN L. MOTT,09X022,Open,9,94.2,40.00%,1,675,0,0,636,636,43,636,0,,A,636,TitleI:no chng,636,"$906,131 ","33,301","872,830","$9,061 ",SWP
209028,2,X,28,P.S. 028 MOUNT HOPE,09X028,Open,9,95.2,40.00%,1,728,0,0,693,693,104,693,0,,,693,TitleI:no chng,693,"$987,341 ","166,505","820,836","$9,873 ",SWP
209035,2,X,35,P.S. 035 FRANZ SIEGEL,09X035,Open,9,87.7,40.00%,1,715,0,0,627,627,32,627,0,,,627,TitleI:no chng,627,"$893,309 ","299,709","593,600","$8,933 ",SWP
209042,2,X,42,P.S. 042 CLAREMONT,09X042,Open,9,95.7,40.00%,1,490,0,0,469,469,60,469,0,,,469,TitleI:no chng,469,"$668,201 ","128,447","539,754","$6,682 ",SWP
209053,2,X,53,P.S. 053 BASHEER QUISIM,09X053,Open,9,93.2,40.00%,1,"1,314",0,0,"1,225","1,225",216,"1,225",0,UU,,1225,TitleI:no chng,"1,225","$1,745,300 ","313,981","1,431,319","$17,453 ",SWP
209055,2,X,55,P.S. 055 BENJAMIN FRANKLIN,09X055,Open,9,95.5,40.00%,1,673,0,0,643,643,55,643,0,,,643,TitleI:no chng,643,"$916,104 ","133,204","782,900","$9,161 ",SWP
209058,2,X,58,P.S. 058,09X058,Open,9,90.1,40.00%,1,547,0,0,493,493,32,493,0,,,493,TitleI:no chng,493,"$702,394 ","52,330","650,064","$7,024 ",SWP
209063,2,X,63,P.S. 063 AUTHOR'S ACADEMY,09X063,Open,9,96.1,40.00%,1,516,0,0,496,496,57,496,0,,,496,TitleI:no chng,496,"$706,668 ","137,961","568,707","$7,067 ",SWP
209064,2,X,64,P.S. 064 PURA BELPRE,09X064,Open,9,99.2,40.00%,1,861,0,0,854,854,237,854,0,,,854,TitleI:no chng,854,"$1,216,724 ","33,301","1,183,423","$12,167 ",SWP
209070,2,X,70,P.S. 070 MAX SCHOENFELD,09X070,Open,9,96.6,40.00%,1,"1,383",0,0,"1,336","1,336",170,"1,336",0,,,1336,TitleI:no chng,"1,336","$1,903,446 ","271,166","1,632,280","$19,034 ",SWP
209073,2,X,73,P.S. 073 BRONX,09X073,Open,9,97.5,40.00%,1,870,0,0,848,848,73,848,0,,,848,TitleI:no chng,848,"$1,208,175 ","137,961","1,070,214","$12,082 ",SWP
209088,2,X,88,P.S. X088 - S. SILVERSTEIN LITTLE S,09X088,Open,9,97.5,40.00%,1,292,0,0,285,285,45,285,0,UU,,285,TitleI:no chng,285,"$406,049 ","90,389","315,660","$4,060 ",SWP
209090,2,X,90,P.S. 090 GEORGE MEANY,09X090,Open,9,83.2,40.00%,1,410,0,0,341,341,22,341,0,,,341,TitleI:no chng,341,"$485,835 ","71,359","414,476","$4,858 ",SWP
209109,2,X,109,P.S. 109 SEDGWICK,09X109,Open,9,98.7,40.00%,1,698,0,0,689,689,104,689,0,,,689,TitleI:no chng,689,"$981,642 ","42,816","938,826","$9,816 ",SWP
209110,2,X,110,P.S. 110 THEODORE SCHOENFELD,09X110,Open,9,100,40.00%,1,389,0,0,389,389,28,389,0,,,389,TitleI:no chng,389,"$554,222 ",0,"554,222","$5,542 ",SWP
209114,2,X,114,P.S. X114 - LUIS LLORENS TORRES SCH,09X114,Open,9,95.6,40.00%,1,773,0,150,739,739,82,739,143,UU,,739,TitleI:no chng,882,"$1,256,616 ","218,835","1,037,781","$12,566 ",SWP
209117,2,X,117,I.S. 117 JOSEPH H. WADE,09X117,Open,9,91.9,40.00%,1,799,0,0,734,734,68,734,0,,,734,TitleI:no chng,734,"$1,045,755 ","166,505","879,250","$10,458 ",SWP
209126,2,X,126,P.S. 126 DR MARJORIE H DUNBAR,09X126,Open,9,96.7,40.00%,1,737,0,0,713,713,120,713,0,,,713,TitleI:no chng,713,"$1,015,836 ","114,175","901,661","$10,158 ",SWP
209128,2,X,128,MOTT HALL III,09X128,Open,9,90.4,40.00%,1,311,0,0,281,281,10,281,0,,,281,TitleI:no chng,281,"$400,350 ","142,719","257,631","$4,004 ",SWP
209132,2,X,132,P.S. 132 GARRET A. MORGAN,09X132,Open,9,94.1,40.00%,1,544,0,0,512,512,36,512,0,UU,,512,TitleI:no chng,512,"$729,464 ","133,204","596,260","$7,295 ",SWP
209145,2,X,145,J.H.S. 145 ARTURO TOSCANINI,09X145,Open,9,91.9,40.00%,1,484,0,0,445,445,35,445,0,UU,,445,TitleI:no chng,445,"$634,007 ","133,204","500,803","$6,340 ",SWP
209163,2,X,163,P.S. 163 ARTHUR A. SCHOMBURG,09X163,Open,9,99.8,40.00%,1,651,0,0,650,650,67,650,0,,,650,TitleI:no chng,650,"$926,078 ","19,029","907,049","$9,261 ",SWP
209166,2,X,166,J.H.S. 166 ROBERTO CLEMENTE,09X166,Open,9,92.3,40.00%,1,414,0,0,382,382,15,382,0,,,382,TitleI:no chng,382,"$544,249 ","33,301","510,948","$5,442 ",SWP
209170,2,X,170,P.S. 170,09X170,Open,9,89.3,40.00%,1,234,0,0,209,209,9,209,0,UU,,209,TitleI:no chng,209,"$297,770 ","85,631","212,139","$2,978 ",SWP
209199,2,X,199,P.S. 199X - THE SHAKESPEARE SCHOOL,09X199,Open,9,99.9,40.00%,1,716,0,0,715,715,99,715,0,,,715,TitleI:no chng,715,"$1,018,685 ","23,786","994,899","$10,187 ",SWP
209204,2,X,204,P.S. 204 MORRIS HEIGHTS,09X204,Open,9,96.2,40.00%,1,318,0,0,306,306,11,306,0,UU,,306,TitleI:no chng,306,"$435,969 ","109,418","326,551","$4,360 ",SWP
209215,2,X,215,KAPPA,09X215,Open,9,91.3,40.00%,1,435,0,0,397,397,5,397,0,,,397,TitleI:no chng,397,"$565,620 ","38,058","527,562","$5,656 ",SWP
209218,2,X,218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL,09X218,Open,9,92.5,40.00%,1,837,0,0,774,774,16,774,0,UU,,774,TitleI:no chng,774,"$1,102,745 ","399,612","703,133","$11,027 ",SWP
209219,2,X,219,I.S. 219 NEW VENTURE SCHOOL,09X219,Open,9,96.8,40.00%,1,472,0,0,457,457,40,457,0,,,457,TitleI:no chng,457,"$651,104 ","66,602","584,502","$6,511 ",SWP
209227,2,X,227,BRONX EXPEDITIONARY LEARNING HIG,09X227,Open,9,88.9,40.00%,1,379,0,0,337,337,33,337,0,,,337,TitleI:no chng,337,"$480,136 ","90,389","389,747","$4,801 ",SWP
209229,2,X,229,I.S. 229 ROLAND PATTERSON,09X229,Open,9,96.7,40.00%,1,334,0,0,323,323,13,323,0,,,323,TitleI:no chng,323,"$460,189 ",0,"460,189","$4,602 ",SWP
209230,2,X,230,P.S. 230 DR ROLAND N. PATTERSON,09X230,Open,9,97.6,40.00%,1,410,0,85,400,400,15,400,83,,,400,TitleI:no chng,483,"$688,147 ",0,"688,147","$6,881 ",SWP
209231,2,X,231,EAGLE ACADEMY FOR YOUNG MEN,09X231,Open,9,71.1,40.00%,1,449,0,0,319,319,11,319,0,UU,,319,TitleI:no chng,319,"$454,490 ","256,894","197,596","$4,545 ",SWP
209232,2,X,232,I.S. 232,09X232,Open,9,100,40.00%,1,427,0,0,427,427,33,427,0,,,427,TitleI:no chng,427,"$608,362 ","57,087","551,275","$6,084 ",SWP
209236,2,X,236,P.S. 236 LANGSTON HUGHES,09X236,Open,9,94.5,40.00%,1,347,0,24,328,328,40,328,23,,,328,TitleI:no chng,351,"$500,082 ","85,631","414,451","$5,001 ",SWP
209239,2,X,239,URBAN ASSEMBLY ACADEMY FOR HIST,09X239,Open,9,56.2,40.00%,1,251,0,0,141,141,11,141,0,,,141,TitleI:no chng,141,"$200,888 ","71,359","129,529","$2,009 ",SWP
209241,2,X,241,URBAN ASSEMBLY SCHOOL FOR APPLIE 09X241,,Open,9,91.2,40.00%,1,505,0,70,461,461,15,461,64,UU,,461,TitleI:no chng,525,"$747,986 ","323,496","424,490","$7,480 ",SWP
209250,2,X,250,EXIMIUS COLLEGE PREPARATORY ACAD 09X250,,Open,9,70.3,40.00%,1,379,0,0,266,266,11,266,0,UU,,266,TitleI:no chng,266,"$378,979 ","133,204","245,775","$3,790 ",SWP
209252,2,X,252,MOTT HALL BRONX HIGH SCHOOL,09X252,Open,9,64.8,40.00%,1,379,0,0,246,246,8,246,0,UU,,246,TitleI:no chng,246,"$350,485 ","109,418","241,067","$3,505 ",SWP
209260,2,X,260,BRONX CENTER FOR SCIENCE AND MAT 09X260,,Open,9,80.9,40.00%,1,424,0,0,343,343,4,343,0,UU,,343,TitleI:no chng,343,"$488,684 ","218,835","269,849","$4,887 ",SWP
209263,2,X,263,VALIDUS PREPARATORY ACADEMY: AN,09X263,Open,9,88.5,40.00%,1,406,0,0,359,359,8,359,0,UU,,359,TitleI:no chng,359,"$511,480 ","237,865","273,615","$5,115 ",SWP
209276,2,X,276,LEADERSHIP INSTITUTE,09X276,Open,9,81.9,40.00%,1,287,0,0,235,235,19,235,0,,,235,TitleI:no chng,235,"$334,813 ","4,757","330,056","$3,348 ",SWP
209297,2,X,297,MORRIS ACADEMY FOR COLLABORATIV 09X297,,Open,9,84,40.00%,1,409,0,0,344,344,25,344,0,UU,,344,TitleI:no chng,344,"$490,109 ","95,146","394,963","$4,901 ",SWP
209303,2,X,303,I.S. X303 LEADERSHIP & COMMUNITY S 09X303,,Open,9,99.7,40.00%,1,348,0,0,347,347,19,347,0,,,347,TitleI:no chng,347,"$494,383 ",0,"494,383","$4,944 ",SWP
209313,2,X,313,I.S. 313 SCHOOL OF LEADERSHIP DEVEL,09X313,Open,9,87.4,40.00%,1,425,0,0,371,371,28,371,0,UU,,371,TitleI:no chng,371,"$528,577 ","52,330","476,247","$5,286 ",SWP
209323,2,X,323,BRONX WRITING ACADEMY,09X323,Open,9,89.7,40.00%,1,496,0,0,445,445,53,445,0,,,445,TitleI:no chng,445,"$634,007 ","161,748","472,259","$6,340 ",SWP
209324,2,X,324,BRONX EARLY COLLEGE ACADEMY FOR,09X324,Open,9,83.4,40.00%,1,265,0,81,221,221,13,221,68,,,221,TitleI:no chng,289,"$411,748 ","152,233","259,515","$4,117 ",SWP
209325,2,X,325,URBAN SCIENCE ACADEMY,09X325,Open,9,75.8,40.00%,1,465,0,0,352,352,50,352,0,UU,,352,TitleI:no chng,352,"$501,507 ","57,087","444,420","$5,015 ",SWP
209327,2,X,327,COMPREHENSIVE MODEL SCHOOL PRO,09X327,Open,9,96.8,40.00%,1,279,0,0,270,270,11,270,0,,,270,TitleI:no chng,270,"$384,678 ","14,272","370,406","$3,847 ",SWP
209328,2,X,328,NEW MILLENNIUM BUSINESS ACADEM,09X328,Open,9,69.9,40.00%,1,252,0,0,176,176,27,176,0,UU,,176,TitleI:no chng,176,"$250,753 ","61,845","188,908","$2,508 ",SWP
209329,2,X,329,DREAMYARD PREPARATORY SCHOOL,09X329,Open,9,84.7,40.00%,1,360,0,0,305,305,20,305,0,,,305,TitleI:no chng,305,"$434,544 ","80,874","353,670","$4,345 ",SWP
209339,2,X,339,I.S. 339,09X339,Open,9,90.2,40.00%,1,796,0,0,718,718,65,718,0,,,718,TitleI:no chng,718,"$1,022,960 ","161,748","861,212","$10,230 ",SWP
209365,2,X,365,ACADEMY FOR LANGUAGE AND TECHN 09X365,,Open,9,98.7,40.00%,1,301,0,75,297,297,25,297,74,,A,297,TitleI:no chng,371,"$528,577 ",0,"528,577","$5,286 ",SWP
209403,2,X,403,BRONX INTERNATIONAL HIGH SCHOOL,09X403,Open,9,89.8,40.00%,1,356,0,0,320,320,25,320,0,UU,,320,TitleI:no chng,320,"$455,915 ","128,447","327,468","$4,559 ",SWP
209404,2,X,404,SCHOOL FOR EXCELLENCE,09X404,Open,9,90,40.00%,1,403,0,0,363,363,25,363,0,UU,,363,TitleI:no chng,363,"$517,179 ","166,505","350,674","$5,172 ",SWP
209412,2,X,412,BRONX HIGH SCHOOL OF BUSINESS,09X412,Open,9,81.5,40.00%,1,438,0,0,357,357,28,357,0,,,357,TitleI:no chng,357,"$508,630 ","80,874","427,756","$5,086 ",SWP
209413,2,X,413,BRONX HIGH SCHOOL FOR MEDICAL SC 09X413,,Open,9,87.3,40.00%,1,450,0,0,393,393,7,393,0,,,393,TitleI:no chng,393,"$559,921 ","223,593","336,328","$5,599 ",Target
209414,2,X,414,JONATHAN LEVIN HIGH SCHOOL FOR M 09X414,,Open,9,83.6,40.00%,1,440,0,0,368,368,31,368,0,,,368,TitleI:no chng,368,"$524,302 ","123,690","400,612","$5,243 ",Target
209443,2,X,443,THE FAMILY SCHOOL,09X443,Open,9,92,40.00%,1,314,0,110,289,289,43,289,101,,,289,TitleI:no chng,390,"$555,647 ","80,874","474,773","$5,556 ",SWP
209449,2,X,449,GRANT AVENUE ELEMENTARY SCHOOL,09X449,Open,9,92,40.00%,1,137,0,55,126,126,19,126,51,,,126,TitleI:no chng,177,"$252,178 ","28,544","223,634","$2,522 ",SWP
209454,2,X,454,SCIENCE AND TECHNOLOGY ACADEMY,09X454,Open,9,95.5,40.00%,1,134,0,93,128,128,10,128,89,,,128,TitleI:no chng,217,"$309,167 ","90,389","218,778","$3,092 ",SWP
209457,2,X,457,SHERIDAN ACADEMY FOR YOUNG LEAD 09X457,,Open,9,89.4,40.00%,1,341,0,111,305,305,25,305,99,,,305,TitleI:no chng,404,"$575,593 ","123,690","451,903","$5,756 ",SWP
209505,2,X,505,"BRONX SCHOOL FOR LAW, GOVERNME",09X505,Open,9,79.2,40.00%,1,623,0,76,493,493,16,493,60,UU,,493,TitleI:no chng,553,"$787,878 ","432,913","354,965","$7,879 ",SWP
209517,2,X,517,FREDERICK DOUGLASS ACADEMY III SEC 09X517,,Open,9,77.2,40.00%,1,578,0,0,446,446,22,446,0,,,446,TitleI:no chng,446,"$635,432 ","176,020","459,412","$6,354 ",SWP
209525,2,X,525,BRONX LEADERSHIP ACADEMY HIGH SC 09X525,,Open,9,83.3,40.00%,1,645,0,0,537,537,14,537,0,,,537,TitleI:no chng,537,"$765,083 ","347,282","417,801","$7,651 ",SWP
209527,2,X,527,BRONX LEADERSHIP ACADEMY II HIGH,07X527,Open,9,68.2,40.00%,1,440,0,0,300,300,17,300,0,UU,,300,TitleI:no chng,300,"$427,420 ",0,"427,420","$4,274 ",SWP
209543,2,X,543,HIGH SCHOOL FOR VIOLIN AND DANCE,09X543,Open,9,89.6,40.00%,1,211,0,0,189,189,11,189,0,,,189,TitleI:no chng,189,"$269,275 ","99,903","169,372","$2,693 ",SWP
210003,2,X,3,P.S. 3 RAUL JULIA MICRO SOCIETY,10X003,Open,10,84.8,40.00%,1,425,0,0,360,360,10,360,0,UU,,360,TitleI:no chng,360,"$512,905 ","313,981","198,924","$5,129 ",SWP
210007,2,X,7,P.S. 007 KINGSBRIDGE,10X007,Open,10,90.3,40.00%,1,548,0,0,495,495,30,495,0,UU,,495,TitleI:no chng,495,"$705,244 ","285,437","419,807","$7,052 ",SWP
210008,2,X,8,P.S. 008 ISSAC VARIAN,10X008,Open,10,89.3,40.00%,1,"1,180",0,0,"1,054","1,054",97,"1,054",0,,,1054,TitleI:no chng,"1,054","$1,501,670 ","494,758","1,006,912","$15,017 ",SWP
210009,2,X,9,P.S. 9 RYER AVENUE ELEMENTARY SCHO 10X009,,Open,10,95,40.00%,1,641,0,0,609,609,67,609,0,UU,,609,TitleI:no chng,609,"$867,663 ","204,563","663,100","$8,677 ",SWP
210015,2,X,15,P.S. X015 INSTITUTE FOR ENVIRONMEN 10X015,,Open,10,93.2,40.00%,1,576,0,0,537,537,12,537,0,UU,,537,TitleI:no chng,537,"$765,083 ","214,078","551,005","$7,651 ",SWP
210020,2,X,20,P.S. 20 P.O.GEORGE J. WERDAN III,10X020,Open,10,93,40.00%,1,"1,049",0,0,976,976,10,976,0,,,976,TitleI:no chng,976,"$1,390,541 ","366,311","1,024,230","$13,905 ",SWP
210023,2,X,23,P.S. 023 THE NEW CHILDREN'S SCHOOL,10X023,Open,10,91.1,40.00%,1,544,0,0,496,496,66,496,0,UU,,496,TitleI:no chng,496,"$706,668 ","161,748","544,920","$7,067 ",SWP
210024,2,X,24,P.S. 024 SPUYTEN DUYVIL,10X024,Open,10,27.8,40.00%,0,805,0,0,224,0,4,4,0,,,4,Non-T1:STH only:no chng,4,"$5,699 ",0,"5,699",$57 ,Target
210032,2,X,32,P.S. 032 BELMONT,10X032,Open,10,96.5,40.00%,1,799,0,0,771,771,47,771,0,UU,,771,TitleI:no chng,771,"$1,098,471 ","228,350","870,121","$10,985 ",SWP
210033,2,X,33,P.S. 033 TIMOTHY DWIGHT,10X033,Open,10,94.8,40.00%,1,918,0,0,870,870,86,870,0,,,870,TitleI:no chng,870,"$1,239,519 ","195,049","1,044,470","$12,395 ",SWP
210037,2,X,37,P.S. X037 - MULTIPLE INTELLIGENCE S,10X037,Open,10,89.2,40.00%,1,586,0,0,523,523,25,523,0,,,523,TitleI:no chng,523,"$745,136 ","294,952","450,184","$7,451 ",SWP
210045,2,X,45,THOMAS C. GIORDANO MIDDLE SCHOO 10X045,,Open,10,92.2,40.00%,1,"1,014",0,0,935,935,53,935,0,,,935,TitleI:no chng,935,"$1,332,127 ","356,797","975,330","$13,321 ",SWP
210046,2,X,46,P.S. 046 EDGAR ALLAN POE,10X046,Open,10,96.2,40.00%,1,"1,290",0,0,"1,241","1,241",142,"1,241",0,UU,,1241,TitleI:no chng,"1,241","$1,768,096 ","532,817","1,235,279","$17,681 ",SWP
210051,2,X,51,P.S. 051 BRONX NEW SCHOOL,10X051,Open,10,83.6,40.00%,1,280,0,0,234,234,4,234,0,,A,234,TitleI:no chng,234,"$333,388 ","166,505","166,883","$3,334 ",SWP
210054,2,X,54,P.S. / I.S. 54,10X054,Open,10,85.1,40.00%,1,476,0,0,405,405,44,405,0,,,405,TitleI:no chng,405,"$577,018 ","104,660","472,358","$5,770 ",SWP
210056,2,X,56,P.S. 056 NORWOOD HEIGHTS,10X056,Open,10,90.2,40.00%,1,575,0,0,519,519,12,519,0,UU,,519,TitleI:no chng,519,"$739,437 ","247,379","492,058","$7,394 ",SWP
210059,2,X,59,P.S. 059 THE COMMUNITY SCHOOL OF,10X059,Open,10,96.2,40.00%,1,507,0,0,488,488,44,488,0,UU,,488,TitleI:no chng,488,"$695,271 ","90,389","604,882","$6,953 ",SWP
210079,2,X,79,P.S. 079 CRESTON,10X079,Open,10,97.4,40.00%,1,278,0,0,271,271,30,271,0,UU,,271,TitleI:no chng,271,"$386,103 ","90,389","295,714","$3,861 ",SWP
210080,2,X,80,J.H.S. 080 THE MOSHOLU PARKWAY,10X080,Open,10,85.4,40.00%,1,618,0,0,528,528,86,528,0,,,528,TitleI:no chng,528,"$752,260 ","166,505","585,755","$7,523 ",SWP
210081,2,X,81,P.S. 081 ROBERT J. CHRISTEN,10X081,Open,10,54.3,40.00%,1,685,0,0,372,372,20,372,0,,,372,TitleI:no chng,372,"$530,001 ","530,001",0,"$5,300 ",SWP
210085,2,X,85,P.S. 085 GREAT EXPECTATIONS,10X085,Open,10,96.1,40.00%,1,"1,194",0,0,"1,147","1,147",188,"1,147",0,,,1147,TitleI:no chng,"1,147","$1,634,171 ","266,408","1,367,763","$16,342 ",SWP
210086,2,X,86,P.S. 086 KINGSBRIDGE HEIGHTS,10X086,Open,10,91.5,40.00%,1,"1,693",0,0,"1,549","1,549",92,"1,549",0,UU,,1549,TitleI:no chng,"1,549","$2,206,914 ","732,623","1,474,291","$22,069 ",SWP
210091,2,X,91,P.S. 091 BRONX,10X091,Open,10,92.7,40.00%,1,730,0,0,677,677,57,677,0,UU,,677,TitleI:no chng,677,"$964,545 ","180,777","783,768","$9,645 ",SWP
210094,2,X,94,P.S. 094 KINGS COLLEGE SCHOOL,10X094,Open,10,89,40.00%,1,899,0,0,800,800,51,800,0,,,800,TitleI:no chng,800,"$1,139,788 ","242,622","897,166","$11,398 ",SWP
210095,2,X,95,P.S. 095 SHEILA MENCHER,10X095,Open,10,79.2,40.00%,1,"1,209",0,0,958,958,37,958,0,UU,,958,TitleI:no chng,958,"$1,364,896 ","570,875","794,021","$13,649 ",SWP
210118,2,X,118,J.H.S. 118 WILLIAM W. NILES,10X118,Open,10,90.2,40.00%,1,"1,151",0,0,"1,038","1,038",46,"1,038",0,,,1038,TitleI:no chng,"1,038","$1,478,875 ","442,428","1,036,447","$14,789 ",SWP
210141,2,X,141,RIVERDALE / KINGSBRIDGE ACADEMY (10X141,,Open,10,51.9,40.00%,1,"1,296",0,0,673,673,5,673,0,UU,,673,TitleI:no chng,673,"$958,847 ","958,847",0,"$9,588 ",SWP
210159,2,X,159,P.S. 159 LUIS MUNOZ MARIN BILING,10X159,Open,10,95.4,40.00%,1,218,0,0,208,208,3,208,0,UU,,208,TitleI:no chng,208,"$296,345 ","61,845","234,500","$2,963 ",SWP
210205,2,X,205,P.S. 205 FIORELLO LAGUARDIA,10X205,Open,10,96.2,40.00%,1,966,0,0,929,929,59,929,0,UU,,929,TitleI:no chng,929,"$1,323,579 ","185,534","1,138,045","$13,236 ",SWP
210206,2,X,206,I.S. 206 ANN MERSEREAU,10X206,Open,10,96.4,40.00%,1,390,0,0,376,376,28,376,0,UU,,376,TitleI:no chng,376,"$535,700 ","104,660","431,040","$5,357 ",SWP
210207,2,X,207,P.S. 207,10X207,Open,10,85.6,40.00%,1,417,0,0,357,357,60,357,0,,,357,TitleI:no chng,357,"$508,630 ","142,719","365,911","$5,086 ",SWP
210209,2,X,209,P.S. 209,10X209,Open,10,96.3,40.00%,1,215,0,0,207,207,31,207,0,,,207,TitleI:no chng,207,"$294,920 ","38,058","256,862","$2,949 ",SWP
210213,2,X,213,BRONX ENGINEERING AND TECHNOLOG 10X213,,Open,10,89.4,40.00%,1,395,0,0,353,353,12,353,0,,,353,TitleI:no chng,353,"$502,931 ","218,835","284,096","$5,029 ",SWP
210225,2,X,225,THEATRE ARTS PRODUCTION COMPAN,10X225,Open,10,76.3,40.00%,1,527,0,0,402,402,10,402,0,,,402,TitleI:no chng,402,"$572,743 ","223,593","349,150","$5,727 ",SWP
210226,2,X,226,P.S. 226,10X226,Open,10,97.4,40.00%,1,386,0,0,376,376,40,376,0,,,376,TitleI:no chng,376,"$535,700 ","47,573","488,127","$5,357 ",SWP
210228,2,X,228,JONAS BRONCK ACADEMY,10X228,Open,10,85.4,40.00%,1,198,0,0,169,169,6,169,0,,A,169,TitleI:no chng,169,"$240,780 ","152,233","88,547","$2,408 ",SWP
210237,2,X,237,THE MARIE CURIE SCHOOL FOR MEDIC,10X237,Open,10,79.4,40.00%,1,407,0,0,323,323,15,323,0,,,323,TitleI:no chng,323,"$460,189 ","152,233","307,956","$4,602 ",SWP
210243,2,X,243,WEST BRONX ACADEMY FOR THE FUTU 10X243,,Open,10,96,40.00%,1,555,0,0,533,533,19,533,0,,,533,TitleI:no chng,533,"$759,384 ","118,932","640,452","$7,594 ",SWP
210244,2,X,244,THE NEW SCHOOL FOR LEADERSHIP AN 10X244,,Open,10,90.7,40.00%,1,741,0,0,672,672,107,672,0,,,672,TitleI:no chng,672,"$957,422 ","185,534","771,888","$9,574 ",SWP
210246,2,X,246,P.S. 246 POE CENTER,10X246,Open,10,98.2,40.00%,1,786,0,0,772,772,34,772,0,,,772,TitleI:no chng,772,"$1,099,895 ","38,058","1,061,837","$10,999 ",SWP
210254,2,X,254,I.S. 254,10X254,Open,10,94.7,40.00%,1,455,0,0,431,431,34,431,0,UU,,431,TitleI:no chng,431,"$614,061 ","204,563","409,498","$6,141 ",SWP
210268,2,X,268,KINGSBRIDGE INTERNATIONAL HIGH SC 10X268,,Open,10,96,40.00%,1,452,0,0,434,434,33,434,0,,,434,TitleI:no chng,434,"$618,335 ","33,301","585,034","$6,183 ",SWP
210279,2,X,279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",10X279,Open,10,94.8,40.00%,1,958,0,0,908,908,59,908,0,,,908,TitleI:no chng,908,"$1,293,659 ","299,709","993,950","$12,937 ",SWP
210280,2,X,280,P.S./M.S. 280 MOSHOLU PARKWAY,10X280,Open,10,92.4,40.00%,1,803,0,0,742,742,52,742,0,,,742,TitleI:no chng,742,"$1,057,153 ","375,826","681,327","$10,572 ",SWP
210284,2,X,284,BRONX SCHOOL OF LAW AND FINANCE,10X284,Open,10,87,40.00%,1,422,0,0,367,367,17,367,0,,,367,TitleI:no chng,367,"$522,878 ","171,262","351,616","$5,229 ",SWP
210291,2,X,291,P.S. 291,10X291,Open,10,99.6,40.00%,1,552,0,0,550,550,85,550,0,,,550,TitleI:no chng,550,"$783,604 ",0,"783,604","$7,836 ",SWP
210306,2,X,306,P.S. 306,10X306,Open,10,80.4,40.00%,1,723,0,0,581,581,63,581,0,UU,,581,TitleI:no chng,581,"$827,771 ","185,534","642,237","$8,278 ",SWP
210307,2,X,307,P.S. X307 - EAMES PLACE,10X307,Open,10,88.2,40.00%,1,285,0,0,251,251,6,251,0,UU,,251,TitleI:no chng,251,"$357,608 ","85,631","271,977","$3,576 ",SWP
210308,2,X,308,BRONX DANCE ACADEMY SCHOOL,10X308,Open,10,82.7,40.00%,1,277,0,0,229,229,8,229,0,,,229,TitleI:no chng,229,"$326,264 ","118,932","207,332","$3,263 ",SWP
210310,2,X,310,P.S. 310 MARBLE HILL,10X310,Open,10,92.7,40.00%,1,643,0,0,596,596,24,596,0,,,596,TitleI:no chng,596,"$849,142 ","185,534","663,608","$8,491 ",SWP
210315,2,X,315,P.S. 315 LAB SCHOOL,10X315,Open,10,92.5,40.00%,1,228,0,0,211,211,14,211,0,,,211,TitleI:no chng,211,"$300,619 ","109,418","191,201","$3,006 ",SWP
210319,2,X,319,PROVIDING URBAN LEARNERS SUCCESS 10X319,,Open,10,86.7,40.00%,1,203,0,0,176,176,5,176,0,,,176,TitleI:no chng,176,"$250,753 ","38,058","212,695","$2,508 ",SWP
